"3 Esplanade Compans Cafarelli 31000 TOULOUSE",,,,,3
"16 rue de Sebastopol 31000 TOULOUSE",,,,,3
"1 Place Jean-Baptiste Baudin 31000 TOULOUSE",,,,,3
"123 Allee de Brienne 31000 TOULOUSE",,,,,3
"45 avenue de Grande Bretagne 31000 TOULOUSE",,,,,3
"19 rue Saint-Hilaire 31000 TOULOUSE",,,,,3
"1 Rue Lucien Lafforgue 31000 TOULOUSE",,,,,3
"4 rue Kennedy 31000 TOULOUSE",,,,,3
"45, rue de Gironis 31036 TOULOUSE",,,,,3
"195, route d'Espagne 31036 TOULOUSE",,,,,3
"26 rue de Gironis 31100 TOULOUSE",,,,,3
"7, rue Albert Carovis 31100 TOULOUSE",,,,,3
"1, avenue Jean Baylet 31100 TOULOUSE",,,,,3
"2 rue Saintonge 31100 TOULOUSE",,,,,3
"41 avenue Louis Ariste Passerieu 31100 TOULOUSE",,,,,3
"5 rue de Kiev 31100 TOULOUSE",,,,,3
"65 route d'Espagne 31100 TOULOUSE",,,,,3
"43 rue Paul Lambert 31100 TOULOUSE",,,,,3
"5 avenue J. Maxwell 31100 TOULOUSE",,,,,3
"44 avenue du General De Croutte 31100 TOULOUSE",,,,,3
"1 place de l'Eglise Saint-Simon 31100 TOULOUSE",,,,,3
"117 rue Henri Desbals 31100 TOULOUSE",,,,,3
"216, route de Launaguet 31200 TOULOUSE",,,,,3
"92 chem Gabardie 31200 TOULOUSE",,,,,3
"18 rue du Faubourg Bonnefoy 31200 TOULOUSE",,,,,3
"51 avenue des Minimes 31200 TOULOUSE",,,,,3
"15 rue des anges 31200 TOULOUSE",,,,,3
"108 route de Blagnac 31200 TOULOUSE",,,,,3
"11 avenue Bourges Maunoury 31200 TOULOUSE",,,,,3
"105 route d' Agde 31200 TOULOUSE",,,,,3
"3 Boulevard des Minimes 31200 TOULOUSE",,,,,3
"239 avenue de Fronton 31200 TOULOUSE",,,,,3
"63 route de Blagnac 31200 TOULOUSE",,,,,3
"316, route de Bayonne bat. M2 31300 TOULOUSE",,,,,3
"41 Avenue de Lombez 31300 TOULOUSE",,,,,3
"70 avenue de Lardenne 31300 TOULOUSE",,,,,3
"26 rue Reclusane 31300 TOULOUSE",,,,,3
"2 allee du Vivarais 31300 TOULOUSE",,,,,3
"2 rue des Gais Pinsons 31300 TOULOUSE",,,,,3
"15 avenue rene bouchon 47110 Sainte Livrade",,,,,3
"1 place Doct Baylac 31300 TOULOUSE",,,,,3
"1 impasse Hugues Panassie 31300 TOULOUSE",,,,,3
"36 rue Bernard de Ventadour 31300 TOULOUSE",,,,,3
"Impasse Tony Poncet 31300 TOULOUSE",,,,,3
"20 Place Jean Diebold 31300 TOULOUSE",,,,,3
"19, rue Claude Forbin 31400 TOULOUSE",,,,,3
"31 rue des cosmonautes 31400 TOULOUSE",,,,,3
"11 Bis Grande Rue St Michel 31400 TOULOUSE",,,,,3
"3 impasse Gaston Genin 31400 TOULOUSE",,,,,3
"16, rue des 36 ponts 31400 TOULOUSE",,,,,3
"11 avenue des ecoles jules julien 31400 TOULOUSE",,,,,3
"6 avenue Lespinet 31400 TOULOUSE",,,,,3
"4 chemin des clotasses 31400 TOULOUSE",,,,,3
"4 av des ecoles jules julien 31400 TOULOUSE",,,,,3
"30, rue Jeanne Marvig 31400 TOULOUSE",,,,,3
"7 avenue Edouard Belin 31400 TOULOUSE",,,,,3
"6 rue des Iris 31400 TOULOUSE",,,,,3
"Pont des Demoiselles 31400 TOULOUSE",,,,,3
"68 Avenue de l'URSS 31400 TOULOUSE",,,,,3
"7 avenue Saint Exupéry 31400 TOULOUSE",,,,,4
"97 avenue Albert Bedouce 31400 TOULOUSE",,,,,4
"38 avenue Jean Moulin 31400 TOULOUSE",,,,,4
"47 rue de Soupetard 31500 TOULOUSE",,,,,4
"Avenue Henri Guillaumet 31500 TOULOUSE",,,,,4
"Rue Chanoine Barthas 31500 TOULOUSE",,,,,4
"37 rue de la solidarite 31500 TOULOUSE",,,,,4
"79 chemin Nicol 31500 TOULOUSE",,,,,4
"22, avenue Marcel Dassault 31500 TOULOUSE",,,,,4
"11 avenue de l'observatoire 31500 TOULOUSE",,,,,4
"1 chemin de Larramet 31170 TOURNEFEUILLE",,,,,4
"Route de Tarbes 31170 TOURNEFEUILLE",,,,,4
"110 avenue du Marquisat 31170 TOURNEFEUILLE",,,,,4
"5 rue Bertrand Panouse 31170 TOURNEFEUILLE",,,,,4
"8, rue Jules Ferry 31290 VILLEFRANCHE-DE-LAURAGAIS",,,,,4
"636 route d'Ensalra 31620 VILLENEUVE-LES-BOULOC",,,,,4
"rue Lavandieres 31270 VILLENEUVE-TOLOSANE",,,,,4
"22 route de Portet 31270 VILLENEUVE-TOLOSANE",,,,,4
"18 chemin Roussimort 31270 VILLENEUVE-TOLOSANE",,,,,4
"83 boulevard des ecoles 31270 VILLENEUVE-TOLOSANE",,,,,4
"1 Rue de l'Abbé Jules Lemire 31300 TOULOUSE",,,,,4
"3 Avenue de Lapeyrière 31240 Saint-Jean",,,,,4
"1 Place François Mitterrand 31240 Saint-Jean",,,,,4
"Rue du Stade 31180 Castelmaurou",,,,,4
"134, Route d'Espagne 31100 Toulouse",,,,,4
"place de l'ancienne sous préfecture 31290 Villefranche-de-Lauragais",,,,,4
"42 Avenue Gaspard Coriolis 31100 Toulouse",,,,,4
"Route de Narbonne 31810 Venerque",,,,,4
"1 Rue de l'Église 31770 Colomiers",,,,,4
"Place du Château 31860 Pins Justaret",,,,,4
"12 Place Saint-Pierre 31810 Venerque",,,,,4
"25 rue Principale 31180 SAINT GENIES- BELLEVUE",,,,,4
"3, Rue de l'Orient 31000 Toulouse",,,,,4
"Allée des Fenassiers 31770 Colomiers",,,,,4
"13, Rue Étienne Collongues 31770 Colomiers",,,,,4
"2, Impasse des Vergers 31100 Toulouse",,,,,4
"40, Grande Rue Nazareth 31000 Toulouse",,,,,4
"6, Rue Claudius Rougenet 31500 Toulouse",,,,,4
"Zi Lavigne D820 31190 Auterive",,,,,4
"1, Place du Maréchal Leclerc 31190 Auterive",,,,,4
"41, Route d'Espagne 31190 Auterive",,,,,4
"rue Malbec 31190 Auragne",,,,,4
"1 Avenue de l'Europe 31600 Muret",,,,,4
"2, Place Jacques Sauvegrain 31100 TOULOUSE",,,,,4
"4, Rue du Faubourg Bonnefoy 31500 TOULOUSE",,,,,4
"7, Impasse Saint-Aubin 31000 Toulouse",,,,,4
"78, Allées Jean Jaurès 31009 Toulouse",,,,,4
"5, Avenue occitane 31520 Ramonville-Saint-Agne",,,,,4
"En Rouzaut 31450 Montgiscard",,,,,4
"38, Avenue de Fronton 31200 Toulouse",,,,,4
"95, Grande Rue Saint-Michel 31400 Toulouse",,,,,4
"9, Rue San-Subra 31000 Toulouse",,,,,4
"9, Rue de Sébastopol 31000 Toulouse",,,,,4
"16 rue Notre-Dame 31600 Muret",,,,,4
"Rue des Écoles 31600 Labastidette",,,,,4
"81 Allée du Comminges 31770 Colomiers",,,,,4
"16 Avenue de l'Hers 31450 Baziège",,,,,4
"32, Route de Toulouse 31830 Plaisance-du-Touch",,,,,4
"133, Chemin du Sang de Serp 31200 Toulouse",,,,,4
"1 avenue St Exupéry 31000 Toulouse",,,,,4
"Avenue du Professeur Joseph Ducuing 31400 Toulouse",,,,,4
"110, Route de Blagnac 31200 Toulouse",,,,,4
"2 ter Rue des Puits Creusés 31000 Toulouse",,,,,4
"Place du Capitole 31000 TOULOUSE",,,,,4
"9, Rue Saint-Rémésy 31000 Toulouse",,,,,4
"3, Rue du Bac 31520 Ramonville-Saint-Agne",,,,,4
"15 Impasse Franz Schrader 31500 Toulouse",,,,,4
"48, Grande Rue Saint-Michel 31400 Toulouse",,,,,4
"389, Route de Saint-Simon 31100 Toulouse",,,,,4
"RD 617 La maladrerie 31410 Noé",,,,,4
"Avenue Honoré Serres 31200 Toulouse",,,,,4
"178, Avenue des Minimes 31200 Toulouse",,,,,4
"4, Chemin des Pradettes 31450 Baziège",,,,,4
"Espace Saint-Georges 31000 Toulouse",,,,,4
"25, Rue du Faubourg Bonnefoy 31500 Toulouse",,,,,4
"Route de Muret 31410 Longages",,,,,4
"Allée Henri Sellier 31000 Toulouse",,,,,4
"Centre commercial Saint-Caprais 31240 L'Union",,,,,4
"71, Chemin des Capelles 31300 Toulouse",,,,,4
"190, Rue Isatis 31670 Labège",,,,,5
"4, Chemin de Liffard 31100 Toulouse",,,,,5
"Mairie 31620 Villeneuve-lès-Bouloc",,,,,5
"Chemin de Pahin 31170 Tournefeuille",,,,,5
"79, Avenue Camille Pujol 31500 Toulouse",,,,,5
"4 Chemin Jean François Lesueur 31100 Toulouse",,,,,5
"24 Rue Pierre Paul Riquet 31000 Toulouse",,,,,5
"9 Rue du Maréchal Gallieni 31500 Toulouse",,,,,5
"Chemin de la Plaine des Lacs 31120 Roques",,,,,5
"Avenue des Pyrénées lot.le Dauphin 31600 Muret",,,,,5
"Chemin de Brioudes 31605 Muret",,,,,5
"Rue du Riou 31700 Beauzelle",,,,,5
"11 rue François Albert 31190 AUTERIVE",,,,,5
"Rue Gustave Flaubert 31700 BLAGNAC",,,,,5
"1, allée Pierre Nadot 31700 BLAGNAC",,,,,5
"route d'Arize 31390 CARBONNE",,,,,5
"7, place des Fetes 31770 COLOMIERS",,,,,5
"Château Alliez 31700 CORNEBARRIEU",,,,,5
"29 rue Frédéric Chopin 31600 EAUNES",,,,,5
"place Alexandre Olive 31150 FENOUILLET",,,,,5
"3 impasse Chêne Vert 31270 FROUZINS",,,,,5
"ZAC PONT Peyrin Allee Collette Besson 32600 L ISLE-JOURDAIN",,,,,5
"4 avenue du Maréchal Lyautey 31600 MURET",,,,,5
"24 square des Chênes 31820 PIBRAC",,,,,5
"1 Ter avenue de Saubens 31860 PINS-JUSTARET",,,,,5
"10 allée Pablo Picasso 31120 PORTET sur GARONNE",,,,,5
"place Jean Jaurès 31120 ROQUES sur GARONNE",,,,,5
"RN 20 - Lieu dit Cabourdy 31790 SAINT JORY",,,,,5
"3 impasse des Acacias 31530 SAINT PAUL SUR SAVE",,,,,5
"6 rue A. Rimbaud Appt 106 31240 Saint-Jean",,,,,5
"4 rue des Jardins 31000 TOULOUSE",,,,,5
"avenue du Général Eisenhower 31023 TOULOUSE",,,,,5
"1, Place Jean Louis Puig 31700 Blagnac",,,,,5
"Avenue Eisenhower 31100 TOULOUSE",,,,,5
"1 place Micoulaud 31200 TOULOUSE",,,,,5
"286, route de Revel 31400 TOULOUSE",,,,,5
"5 rue Jean Castilhon, appartement 193 31500 Toulouse",,,,,5
"impasse du Château 31170 TOURNEFEUILLE",,,,,5
"rue du Terrial 31150 GAGNAC SUR GARONNE",,,,,5
"1, Place de la Mairie 31530 LASSERRE",,,,,5
"345, Avenue Jean Rieux 31400 Toulouse",,,,,5
"place jouan cade 31340 Le Born",,,,,5
"Rue de Nazan 31650 SAINT ORENS DE GAMEVILLE",,,,,5
"9, Chemin de la Cepette 31860 Pins-Justaret",,,,,5
"87, Rue de Cugnaux 31000 Toulouse",,,,,5
"avenue des Eglantiers 31120 ROQUES sur GARONNE",,,,,5
"33 avenue Georges Pompidou 31130 BALMA",,,,,5
"20, Rue Raymond IV 31506 Toulouse",,,,,5
"4, Rue Jules Ferry 31290 Villefranche-de-Lauragais",,,,,5
"30, Chemin de Bitet 31400 TOULOUSE",,,,,5
"1, Le Communal 31430 SAINT ELIX LE CHATEAU",,,,,5
"1047 Route du Plantaurel 31860 Labarthe-sur-Lèze",,,,,5
"81, Avenue de Grande Bretagne 31300 Toulouse",,,,,5
